"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"281",14,"Tyler Simmons",PIT,"7","-","-22","-0.3","0% (0/1)"
"282",14,"Tanner Gentry",BUF,"7","-","-","-","-"
"283",14,"Brandon Smith",DAL,"7","-","-","-","-"
"284",14,"Kirk Merritt",MIA,"14","-","-","-","-"
"285",14,"Austin Proehl",LAC,"7","-","-","-","-"
"286",14,"DeMichael Harris",IND,"14"," 3.4","-161","-0.3","16% (1/6)"
"287",14,"DJ Turner",LV,"8","-","-","-","-"
"288",14,"Juwann Winfree",GB,"13"," 4.6","-","-0.4","0% (0/1)"
"289",14,"Jason Moore Jr.",LAC,"7","-","-","-1.1","0% (0/5)"
"290",14,"Devin Smith",JAC,"7"," 5.6","-123","-0.7","0% (0/4)"
"291",14,"Josh Imatorbhebhe",FA,"-","-","-130","-","-"
"292",14,"Travis Jonsen",TB,"9","-","-","-","-"
"293",14,"Lawrence Cager",FA,"-","-","-","-2.0","0% (0/3)"
"294",14,"Austin Watkins Jr.",FA,"-"," 6.0","-","-","-"
"295",15,"Cyril Grayson Jr.",TB,"9","-","-38","-","-"
