"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","STRENGTH OF SCHEDULE ","ECR VS. ADP","AVG. POINTS ","% GAMES "
"50",6,"Latavius Murray",FA,"-"," 2.8","-6","+1.3","40% (6/15)"
"51",6,"Rashaad Penny",SEA,"9"," 2.0","+2","-1.4","0% (0/6)"
"52",7,"Giovani Bernard",TB,"9"," 1.0","+3","0.0","50% (8/16)"
"53",7,"Darrel Williams",KC,"12"," 6.6","+8","-0.3","37% (6/16)"
"54",7,"Rhamondre Stevenson",NE,"14"," 4.6","-5","-","-"
"55",7,"Carlos Hyde",JAC,"7"," 6.2","+21","+2.4","50% (5/10)"
"56",7,"Damien Williams",CHI,"10"," 6.2","+2","-","-"
"57",7,"Malcolm Brown",MIA,"14"," 5.4","+17","-0.5","31% (5/16)"
"58",7,"Kenneth Gainwell",PHI,"14"," 4.4","-2","-","-"
"59",7,"Salvon Ahmed",MIA,"14"," 5.8","+9","+4.0","66% (4/6)"
"60",7,"Marlon Mack",IND,"14"," 6.4","-3","-4.5","0% (0/1)"
"61",7,"Chuba Hubbard",CAR,"13"," 1.6","-10","-","-"
"62",7,"Mark Ingram II",HOU,"10"," 4.8","-8","-3.5","20% (2/10)"
"63",7,"Justin Jackson",LAC,"7"," 9.0","+3","-0.2","44% (4/9)"
"64",7,"Ty Johnson",NYJ,"6"," 5.6","+1","+0.6","33% (5/15)"
"65",7,"Boston Scott",PHI,"14"," 4.8","+15","-1.1","25% (4/16)"
"66",7,"Darrynton Evans",TEN,"13"," 4.8","-7","-1.7","12% (1/8)"
"67",7,"Joshua Kelley",LAC,"7"," 9.2","+11","-1.0","35% (5/14)"
"68",7,"Jerick McKinnon",KC,"12"," 7.0","+9","-0.9","43% (7/16)"
"69",7,"Tarik Cohen",CHI,"10"," 6.4","+10","-2.8","0% (0/3)"
"70",7,"Devontae Booker",NYG,"10"," 2.2","-6","+0.5","37% (6/16)"
"71",7,"Benny Snell Jr.",PIT,"7"," 8.0","+1","-0.1","37% (6/16)"
